"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:78I1RZ9DALZ7InyBY8Zo1I","Petal","spotify:artist:2JFljHPanIjYy2QqfNYvC0","Chon","spotify:album:31xSTnqna5WeOdCN0AJMNJ","Chon","spotify:artist:2JFljHPanIjYy2QqfNYvC0","Chon","2019-06-07","https://i.scdn.co/image/ab67616d0000b273ffafed265a7a2067947b5931","1","5","184720","","false","0","USFYZ1912005","spotify:user:25jkpxwt99zf5n6j41uxhvyjt","2022-10-03T02:07:27Z"
"spotify:track:3nBGFgfRQ8ujSmu5cGlZIU","Playing God","spotify:artist:4vGrte8FDu062Ntj0RsPiZ","Polyphia","spotify:album:3rHwz3EQwsQXdsXvSWE1N4","Playing God","spotify:artist:4vGrte8FDu062Ntj0RsPiZ","Polyphia","2022-05-10","https://i.scdn.co/image/ab67616d0000b273c57ca033709146845d0ffa8f","1","1","205925","https://p.scdn.co/mp3-preview/c47c83a2127cc1bcdd233d5159c730550cfbd0ae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","QMRSZ2201095","spotify:user:25jkpxwt99zf5n6j41uxhvyjt","2022-10-03T02:07:28Z"
